udata name , peppol name ,udata ID,Peppol ID,Relation
"Musée national d'archéologie, d'histoire et d'art ","  Musée national d'archéologie, d'histoire et d'art (MNAHA) ",64d5fb0b3a8d68884c8a3166,LU11381573,same
Ministère du Logement et de l’Aménagement du territoire - Département de l’aménagement du territoire ,  Ministère du Logement et de l'Aménagement du territoire (MLOGAT) - Département de l'Aménagement du territoire ,5ce2a3de4384b02ca97262e9,LU16202141,same
Ministère de l'Egalité des genres et de la Diversité  ,  Ministère de l'Égalité des genres et de la Diversité (MEGA) ,605db3eb0b2d6dfe6130a805,LU19481482,same
Luxembourg Institute of Science and Technology ,  Luxembourg Institute of Science and Technology (LIST) ,584692f9cc765e6bf28ec431,LU27327040,same
Service de la navigation fluviale ,  Service de la navigation fluviale (SN) ,5c11060560beb268c83fa385,LU15440377,same
Centre de gestion du personnel et de l'organisation de l'Etat ,  Centre de gestion du personnel et de l'organisation de l'État (CGPO) ,5b29062446f3b51b7fc1b0e0,00005000483,same
Administration de la navigation aérienne ,  Administration de la navigation aérienne (ANA) ,59885f7b111e9b02ffe9a04b,LU22209641,same
Ministère de la Santé et de la Sécurité sociale ,"Ministère de la Santé et de la Sécurité sociale (MSSS)",591d505b111e9b60ea5c62d4,00005000394,same
Administration des contributions directes ,  Administration des contributions directes (ACD) ,5b7fad1f88d0b20211664628,00005000491,same
Administration de la nature et des forêts ,  Administration de la nature et des forêts (ANF) ,57077c33d1dd5f33aa9a6b18,LU11359329,same
Ministère de la Recherche et de l’Enseignement supérieur  ,  Ministère de la Recherche et de l'Enseignement supérieur (MESR) ,5bf816078174a101c8694de0,LU23466864,same
Institut national pour le patrimoine architectural ,  Institut national pour le patrimoine architectural (INPA) ,57b5abb46cd5827a03e2a86b,00005002311,same
Ministère du Logement et de l’Aménagement du territoire - Département du Logement ,  Ministère du Logement et de l'Aménagement du territoire (MLOGAT) - Département du Logement ,5c0fba8c28c4b22153107436,LU23559714,same
Commission nationale pour la protection des données ,  Commission nationale pour la protection des données (CNPD) ,64d1e885dd50f2134969bd69,20025200048,same
"Ministère de la Famille, des Solidarités, du Vivre ensemble et de l’Accueil ","  Ministère de la Famille, des Solidarités, du Vivre ensemble et de l'Accueil (MFSVA) ",64240c85f0b6554387771214,00005003466,same
Administration des transports publics  ,  Administration des transports publics (ATP) ,56fbd32e0d6ceb6629b6f9f2,LU32757656,same
Autorité luxembourgeoise indépendante de l'audiovisuel ,  Autorité luxembourgeoise indépendante de l'audiovisuel (ALIA) ,5d1ef20d0f7fb024553fa542,20135200019,same
Administration du cadastre et de la topographie ,  Administration du cadastre et de la topographie (ACT) ,56f54c310d6ceb552837f07c,LU11385423,same
Administration des services techniques de l'agriculture ,  Administration des services techniques de l'agriculture (ASTA) ,57b57c8f6cd58276e4e2a86b,LU11398262,same
Fonds du Logement ,  Fonds du logement ,5c17a30328c4b23bab163d2b,LU11421831,same
Administration luxembourgeoise vétérinaire et alimentaire ,  Administration luxembourgeoise vétérinaire et alimentaire (ALVA) ,597ad8da111e9b6a46c105f9,LU34404459,same
"Ministère de l'Éducation nationale, de l'Enfance et de la Jeunesse ","  Ministère de l'Éducation nationale, de l'Enfance et de la Jeunesse (MENEJ) ",581ae376111e9b5d74f7ceed,00005000475,same
Administration d'évaluation et de contrôle de l'assurance dépendance ,  Administration d'évaluation et de contrôle de l'assurance dépendance (AECAD) ,5dcbd539f176a12f20625ea6,LU29844932,same
"Ministère de l'Environnement, du Climat et de la Biodiversité ","  Ministère de l'Environnement, du Climat et de la Biodiversité (MECB) ",5ce3b7c54384b0342fe76e8e,19805000042,same
"Ministère de l'Économie - Direction générale des PME, simplification administrative, artisanat et commerce ","  Ministère de l'Économie (MECO) - Direction générale PME, simplification administrative, artisanat et commerce ",63e385e564dedaa80b9b4f90,20225000035,same
Institut national pour le développement de la formation professionnelle continue ,  Institut national pour le développement de la formation professionnelle continue (INFPC) ,5bfbba1d0f7fb018797d8853,LU15697467,same
Institut Luxembourgeois de Régulation (ILR) ,  Institut luxembourgeois de régulation (ILR) ,57ac77945145222b515765bb,LU17164351,same
"Service des médias, de la connectivité et de la politique numérique ","  Service des médias, de la connectivité et de la politique numérique (SMC) ",570522eb0d6ceb65fbb0a352,19915000013,same
Administration Communale de Bettembourg ,  Administration communale de Bettembourg ,5710d928a30b1b698b41d772,LU12910454,same
Luxembourg for Tourism GIE ,  Luxembourg for Tourism GIE ,6708bc4eb3418126e71b3adc,20158100127,same
Administration judiciaire ,  Administration judiciaire ,656ed2c324e7ba9489a8025f,00005001560,same
Direction de la Défense ,  Direction de la Défense ,64e369c5509a0ce17a8e8c3a,LU28850152,same
Creos ,  Creos ,63d3d32f087db0c865f36172,LU10320554,same
Observatoire national de la santé ,  Observatoire national de la santé ,62ebbc862ab7020eb8d14007,20215000096,same
Police grand-ducale ,  Police grand-ducale ,5c823dba0f7fb02dfc6132aa,LU18194226,same
Fonds Belval ,  Fonds Belval ,5c5418f90f7fb02a9108f4cf,LU19362146,same
Film Fund Luxembourg ,  Film Fund Luxembourg ,5a6afc36111e9b0df06343af,LU17277728,same
Ville de Luxembourg ,  Ville de Luxembourg ,56fa348c0d6ceb594137f07c,LU10355144,same
Commissariat du gouvernement à la protection des données auprès de l'Etat ,Commissariat du Gouvernement à la souveraineté des données (CGSD),641afff916f2713436641b33,20085000080,same
Chambre des Députés du Grand-Duché de Luxembourg ,Administration parlementaire de la Chambre des députés (CHD),627e56d3a9bc6b2dd946a3ea,LU11362258,same
Ville de Differdange ,Administration communale de Differdange,6229f93d284d7481722b37e4,LU10284954,same
